gameTitle,p-valor
Assassins Creed II,0.0206
Assassins Creed Brotherhood,0.0325
Borderlands The Pre-Sequel,0.013
Borderlands 3,0.0043
Borderlands GOTY Enhanced,0.0325
Tales from the Borderlands,0.0465
Borderlands GOTY,0.0325
Castlevania Anniversary Collection,0.0206
Cyberpunk 2077,0.0043
Fallout,0.0325
Fallout 76,0.0011
Fallout 2,0.0325
Fallout Shelter,0.0022
Fallout 3 - Game of the Year Edition,0.0325
Fallout 3,0.0206
The Witcher 3 Wild Hunt,0.0022
The Witcher 2 Assassins of Kings Enhanced Edition,0.0011
The Witcher Enhanced Edition,0.0011
